pessoas,confirmados,suspeitos,contagio
22597006350,1,0,1
39131174630,1,0,1
11123861078,1,0,1
48310126930,0,1,0.9
89810524071,0,1,0.9
60034848231,0,1,0.9
56139523985,0,1,0.9
33985779545,0,1,0.9
46791901148,0,1,0.9
74704526138,0,1,0.9
13263687617,0,1,0.9
85935472603,0,1,0.9
8610781307,0,0,0.0757446808510638
24317596323,0,0,0.227234042553191
69248441944,0,0,0.664869976359338
35402216902,0,0,0.89
17762263835,0,0,0.305082742316785
42788685726,0,0,0.229338061465721
32998577989,0,0,0.441843971631206
28883244260,0,0,0.0189361702127659
87465447619,0,0,0.201985815602837
76013154866,0,0,0.51338061465721
235933375,0,0,0.397659574468085
56223173678,0,0,0.746926713947991
43357613144,0,0,0.0757446808510638
21335208237,0,0,0
97224614993,0,0,0.542836879432624
43461622531,0,0,0.37451536643026
43345418709,0,0,0.176737588652482
22265096441,0,0,0.559669030732861
66038077629,0,0,0.410283687943262
